endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,decision_price,responses.rt,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,NAN,,NAN,0.4,5.6,,0,19,19,19,1,20,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_15.jpeg,liked,3.195382774,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,1.636,NAN,,NAN,0.4,5.6,,0,20,20,20,1,21,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_23.jpeg,liked,1.779333479,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.3171,NAN,,NAN,0.4,5.6,,0,21,21,21,1,22,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_3.jpeg,liked,4.312468682,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.2704,NAN,,NAN,0.4,5.6,,0,22,22,22,1,23,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_18.jpeg,did not like,4.940433059,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.3201,NAN,,NAN,0.4,5.6,,0,23,23,23,1,24,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_14.jpeg,liked,2.7105123,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,21,,,,,,space,0.2866,space,0.5746,1,0,0,0,0,1,Go on a hike with my friends,Hike at red rocks at night in the summer,0.01,0.05,8.8,0,0.01,1.2954,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,22,,,,,,,,,,1,0,1,1,1,1,Walk in the sand in south carolina,Eat at a restaurant with my boyfriend,0.02,0.05,4.4,1,0.02,1.4052,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,23,,,,,,,,,,1,0,2,2,2,1,Do yoga early in the morning outside,Go to a concert with friends,0.03,0.05,1.1,1,0.03,1.5136,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,24,,,,,,,,,,1,0,3,3,3,1,Swim in the ocean,Walk around the mall with my mom,0.04,0.05,4.4,1,0.04,1.9456,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,25,,,,,,,,,,1,0,4,4,4,1,Swim in the ocean,Eat at a restaurant with my boyfriend,0.05,0.05,3.3,1,0.05,2.2882,,,,,
