endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,key_resp.rt
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,21,,,,,,space,0.3214,space,1.0823,0.01,1,1.2501,0,0,0,0,1,Swimming,Having parties,0.01,0.05,8.8,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,22,,,,,,,,,,0.02,1,2.0751,0,1,1,1,1,Working on prolific,Going to pizza places or other mass gathering areas,0.02,0.05,4.4,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,23,,,,,,,,,,0.05,2,2.1796,0,2,2,2,1,Play Villainous,Playing exploding kittens,0.03,0.05,1.1,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,24,,,,,,,,,,0.04,1,1.9614,0,3,3,3,1,Working on a craft project like chainmail,Watching movies at the movie theater,0.04,0.05,4.4,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,25,,,,,,,,,,0.05,2,5.6969,0,4,4,4,1,Watching movies,Playing Baldurs gate board game,0.05,0.05,3.3,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,4,space,3,0.69,5.31,,0,24,24,24,1,25,Alex,Acc,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_11.jpeg,liked,3.602308302,,,,,,,,,,,,,,,,,,space,2.4179,4.9733
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,space,2.0023,space,0.4362,NAN,,NAN,0.69,5.31,,0,25,25,25,1,26,Riley,Rej,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_1.jpeg,did not like,4.106391878,,,,,,,,,,,,,,,,,,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,space,0.4541,NAN,,NAN,0.69,5.31,,0,26,26,26,1,27,Riley,Rej,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_22.jpeg,liked,3.799433026,,,,,,,,,,,,,,,,,,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,space,1.785,NAN,,NAN,0.69,5.31,,0,27,27,27,1,28,Riley,Rej,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_2.jpeg,liked,5.246980764,,,,,,,,,,,,,,,,,,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,space,0.7116,NAN,,NAN,0.69,5.31,,0,28,28,28,1,29,Riley,Rej,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_24.jpeg,liked,3.30081769,,,,,,,,,,,,,,,,,,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,26,,,,,,space,1.209,space,0.8474,0.01,1,1.292,0,0,0,0,1,Eating fancier foods,Hanging out with friends,0.01,0.01,4.4,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,27,,,,,,,,,,0.02,1,1.2976,0,1,1,1,1,Swimming,Playing Magic the gathering,0.02,0.01,3.3,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,28,,,,,,,,,,0.01,2,1.5454,0,2,2,2,1,Eating fancier foods,Going to the park with others,0.03,0.01,3.3,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,29,,,,,,,,,,0.01,2,1.2192,0,3,3,3,1,Play Villainous,Going to the park with others,0.04,0.01,4.4,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,30,,,,,,,,,,0.01,2,2.0887,0,4,4,4,1,Working on a craft project like chainmail,Playing competitive video games,0.05,0.01,8.8,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,NAN,,NAN,0.75,5.25,,0,29,29,29,1,30,Riley,Rej,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_18.jpeg,liked,1.661473164,,,,,,,,,,,,,,,,,,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,space,0.4563,NAN,,NAN,0.75,5.25,,0,30,30,30,1,31,Riley,Rej,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_6.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,space,0.6973,NAN,,NAN,0.75,5.25,,0,31,31,31,1,32,Riley,Rej,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_4.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,space,0.473,NAN,,NAN,0.75,5.25,,0,32,32,32,1,33,Riley,Rej,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_21.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,space,0.4438,NAN,,NAN,0.75,5.25,,0,33,33,33,1,34,Riley,Rej,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_16.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,31,,,,,,space,1.025,space,0.5895,0.01,1,2.7452,0,0,0,0,1,Eating fancier foods,Watching movies at the movie theater,0.01,0.02,8.8,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,32,,,,,,,,,,0.02,1,2.185,0,1,1,1,1,Reading a book,Going to the park with others,0.02,0.02,1.1,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,33,,,,,,,,,,0.02,2,6.183,0,2,2,2,1,Working on a craft project like chainmail,Playing exploding kittens,0.03,0.02,4.4,,,
