endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,decision_price,responses.rt,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,NAN,,NAN,0.54,5.46,,0,19,19,19,1,20,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_20.jpeg,did not like,3.195382774,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,space,0.6728,NAN,,NAN,0.54,5.46,,0,20,20,20,1,21,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_8.jpeg,did not like,1.779333479,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,space,0.5604,NAN,,NAN,0.54,5.46,,0,21,21,21,1,22,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_11.jpeg,liked,4.312468682,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,space,1.1472,NAN,,NAN,0.54,5.46,,0,22,22,22,1,23,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_24.jpeg,did not like,4.940433059,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,space,0.0047,NAN,,NAN,0.54,5.46,,0,23,23,23,1,24,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_16.jpeg,did not like,2.7105123,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,21,,,,,,space,0.5467,space,0.7578,2,0,0,0,0,1,Eat at amazing restaurants with friends,Spend time with my girlfriend,0.01,0.05,8.8,1,,0.05,0.8269,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,22,,,,,,,,,,2,0,1,1,1,1,Game with friends in my room,Spend time with my girlfriend,0.02,0.05,4.4,1,,0.05,0.9108,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,23,,,,,,,,,,2,0,2,2,2,1,Drink and party with high school friends,Go to work on cold days,0.03,0.05,1.1,0,,0.05,0.9828,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,24,,,,,,,,,,2,0,3,3,3,1,Go to the gym in the mornings,Go on mini road trips with high school friends,0.04,0.05,4.4,1,,0.05,1.5007,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,25,,,,,,,,,,1,0,4,4,4,1,Game with my boys,Go on vacations with my family,0.05,0.05,3.3,0,,0.05,1.1103,,,
