endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt,social_left
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,5.5337,NAN,,NAN,0.55,5.45,,0,27,27,27,1,28,Riley,Rej,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_22.jpeg,did not like,5.246980764,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,1.3615,NAN,,NAN,0.55,5.45,,0,28,28,28,1,29,Riley,Rej,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_3.jpeg,liked,3.30081769,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,26,,,,,,space,3.2339,space,0.8667,0.01,1,2.5583,0,0,0,0,1,Play chess online against other people,Play basketball with my friends,0.01,0.01,4.4,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,27,,,,,,,,,,0.01,2,3.5232,0,1,1,1,1,Take a walk in my neighborhood on a sunny day,Go out to a restaurant with my family,0.02,0.01,3.3,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,28,,,,,,,,,,0.01,2,2.2742,0,2,2,2,1,Swim in the pool on a nice summer day,Celebrate christmas with my family,0.03,0.01,3.3,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,29,,,,,,,,,,0.01,2,2.0474,0,3,3,3,1,Watch YouTube documentary videos about history,Playchess with a friend,0.04,0.01,4.4,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,30,,,,,,,,,,0.01,2,1.6241,0,4,4,4,1,Do statistics research from my office,Read a book at a park with my girlfriend,0.05,0.01,8.8,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,NAN,,NAN,0.6,5.4,,0,29,29,29,1,30,Riley,Rej,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_2.jpeg,did not like,1.661473164,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,1.4943,NAN,,NAN,0.6,5.4,,0,30,30,30,1,31,Riley,Rej,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_16.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,1.0513,NAN,,NAN,0.6,5.4,,0,31,31,31,1,32,Riley,Rej,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_4.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
