participant,condition_recode,salience_mean,choice,stress_mean,stress_mean,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order,overallaffect,prop_socialchoice,social_left,social_decisionprice_mean,nonsocial_decisionprice_mean
6676fab6295042ff191ead64,1,1.5,1.46,3.0,3.0,0.0,,2.16,,,,,3.0,0.54,,0.022222222222222227,0.021739130434782615
6676fab6295042ff191ead64,2,2.0,1.46,3.0,3.0,0.0,,2.24,,,,,3.0,0.54,,0.02370370370370371,0.020000000000000007
667838be776b27f8705b6c3c,1,2.0,1.48,6.5,6.5,-1.0,,1.48,,,,,7.0,0.6,,0.022333333333333337,0.024
667838be776b27f8705b6c3c,2,3.5,1.4583333333333333,7.5,7.5,-1.0,,1.4166666666666667,,,,,7.0,0.62,,0.024137931034482765,0.019473684210526317
667981cd5ba91c2ae804e4f3,1,1.0,1.44,4.5,4.5,-1.0,,0.78,,,,,5.0,0.58,,0.021724137931034487,0.022380952380952383
667981cd5ba91c2ae804e4f3,2,3.0,1.5,5.5,5.5,-1.0,,1.22,,,,,5.0,0.44,,0.02181818181818182,0.022500000000000003
6679bdceaa28479dfe378bb6,1,4.5,1.46,2.5,2.5,-0.5,,2.8,,,,,2.75,0.68,,0.027352941176470594,0.025625000000000002
6679bdceaa28479dfe378bb6,2,4.0,1.5,3.0,3.0,-0.5,,2.3,,,,,2.75,0.46,,0.021739130434782615,0.025925925925925932
66800683809f48e85f663f86,1,1.0,1.42,5.5,5.5,-2.0,,2.18,,,,,6.5,0.4,,0.018000000000000006,0.02633333333333334
66800683809f48e85f663f86,2,4.0,1.48,7.5,7.5,-2.0,,2.84,,,,,6.5,0.44,,0.023181818181818182,0.025000000000000005
6683b31d16dd162d502a8b00,1,1.0,1.52,1.5,1.5,-2.0,,2.92,,,,,2.5,0.6,,0.02700000000000001,0.027500000000000004
6683b31d16dd162d502a8b00,2,2.0,1.52,3.5,3.5,-2.0,,2.76,,,,,2.5,0.56,,0.027500000000000007,0.02863636363636364
6686247e6177b8b37bdd0463,1,2.5,1.4081632653061225,5.5,5.5,2.0,,1.530612244897959,,,,,4.5,0.5714285714285714,,0.02178571428571429,0.021428571428571432
6686247e6177b8b37bdd0463,2,4.5,1.46,3.5,3.5,2.0,,1.44,,,,,4.5,0.4897959183673469,,0.020416666666666666,0.024
668beeeac6158723009d2b8a,1,1.0,1.46,3.0,3.0,0.0,,0.98,,,,,3.0,0.56,,0.02285714285714286,0.02090909090909091
668beeeac6158723009d2b8a,2,3.5,1.52,3.0,3.0,0.0,,1.52,,,,,3.0,0.48,,0.02125,0.02307692307692308
668d5a454e51f2df12027e26,1,2.0,1.48,3.5,3.5,-1.5,,1.0,,,,,4.25,0.56,,0.022142857142857148,0.021818181818181823
668d5a454e51f2df12027e26,2,3.0,1.42,5.0,5.0,-1.5,,1.06,,,,,4.25,0.54,,0.031111111111111114,0.023043478260869565
66946e3054a30a2bf5b1be40,1,5.0,1.5,9.0,9.0,0.0,,1.38,,,,,9.0,0.42,,0.022380952380952383,0.022068965517241385
66946e3054a30a2bf5b1be40,2,4.0,1.58,9.0,9.0,0.0,,1.54,,,,,9.0,0.34,,0.019411764705882354,0.02393939393939394
66a049748b57caf868c3179d,1,1.5,1.5,3.5,3.5,0.5,,3.9047619047619047,,,,,3.25,0.42857142857142855,,0.028333333333333335,0.03291666666666667
66a049748b57caf868c3179d,2,2.0,1.7567567567567568,3.0,3.0,0.5,,3.054054054054054,,,,,3.25,0.39473684210526316,,0.03214285714285715,0.03052631578947369
66a08dccc5cc029fc23a96a8,1,2.0,1.5918367346938775,3.5,3.5,-3.5,,2.1020408163265305,,,,,5.25,0.42857142857142855,,0.03666666666666668,0.037142857142857144
66a08dccc5cc029fc23a96a8,2,,1.5434782608695652,7.0,7.0,-3.5,,2.108695652173913,,,,,5.25,0.46808510638297873,,0.03666666666666668,0.036800000000000006
66ada0d8b8ddd62c65d39bfe,1,1.5,1.44,2.0,2.0,-6.0,,1.28,,,,,5.0,0.54,,0.022592592592592595,0.022608695652173914
66ada0d8b8ddd62c65d39bfe,2,5.0,1.5,8.0,8.0,-6.0,,1.6,,,,,5.0,0.52,,0.023461538461538464,0.020416666666666666
66b92d3b18295c1e6c125b85,1,5.0,1.469387755102041,5.0,5.0,0.0,,1.489795918367347,,,,,5.0,0.5918367346938775,,0.0303448275862069,0.03250000000000001
66b92d3b18295c1e6c125b85,2,5.0,1.4081632653061225,5.0,5.0,0.0,,2.5918367346938775,,,,,5.0,0.5102040816326531,,0.0276,0.03416666666666667
66ba909954ae8842a7c369a4,1,2.0,1.469387755102041,7.5,7.5,-0.5,,3.163265306122449,,,,,7.75,0.5306122448979592,,0.02461538461538462,0.02347826086956522
66ba909954ae8842a7c369a4,2,3.5,1.4583333333333333,8.0,8.0,-0.5,,1.6041666666666667,,,,,7.75,0.4791666666666667,,0.020454545454545458,0.024000000000000004
